17:48:26, 17187, 59,2405
17:49:26, 17429, 67,2392
17:50:26, 17520, 70,2398
17:51:26, 17516, 71,2398
17:52:27, 17520, 72,2405
17:53:27, 17523, 72,2405
17:54:27, 17523, 73,2398
17:55:27, 17409, 73,2405
17:56:27, 17489, 76,2405
17:57:27, 17486, 74,2405
17:58:27, 17483, 74,2405
17:59:27, 17478, 74,2405
18:00:27, 17497, 74,2405
18:01:27, 17486, 77,2405
18:02:27, 17490, 76,2392
18:03:27, 17479, 74,2405
18:04:27, 17487, 76,2405
18:05:27, 17495, 74,2405
18:06:27, 17491, 74,2398
18:07:27, 17484, 74,2405
18:08:27, 17487, 74,2405
