13:39:55, 16256112, 51, 2411
13:40:55, 15493548, 63, 2392
13:41:55, 15497148, 68, 2398
13:42:55, 15497840, 70, 2398
13:43:55, 15479700, 72, 2405
13:44:55, 15470744, 73, 2405
13:45:55, 15461340, 74, 2405
13:46:55, 15465376, 75, 2405
13:47:56, 15455964, 76, 2405
13:48:56, 15461304, 76, 2398
13:49:56, 15457276, 76, 2405
13:50:56, 15464416, 77, 2405
13:51:56, 15465024, 76, 2405
13:52:56, 15459392, 76, 2405
13:53:56, 15450620, 80, 2392
13:54:56, 15457000, 76, 2405
13:55:56, 15455976, 76, 2405
13:56:56, 15823696, 76, 2405
13:57:56, 15831932, 73, 2405
13:58:56, 15845140, 75, 2398
13:59:57, 15854172, 71, 2398
14:00:57, 15537232, 70, 2398
14:01:57, 15780196, 73, 2405
14:02:57, 15719116, 70, 2398
14:03:57, 15493736, 73, 2398
14:04:57, 15723268, 78, 2405
14:05:57, 15705612, 71, 2398
14:06:57, 15707920, 70, 2398
14:07:57, 15711636, 69, 2398
14:08:57, 15692492, 69, 2392
14:09:57, 15689380, 72, 2398
14:10:57, 15697316, 68, 2398
14:11:57, 15702052, 69, 2398
14:12:58, 15709020, 72, 2379
14:13:58, 15697056, 69, 2398
14:14:58, 15704172, 69, 2398
14:15:58, 15694536, 69, 2398
14:16:58, 15699584, 70, 2398
14:17:58, 15698908, 69, 2398
14:18:58, 15686640, 68, 2398
14:19:58, 15682404, 68, 2398
14:20:58, 15692276, 72, 2405
14:21:58, 15690288, 69, 2398
14:22:58, 15674204, 69, 2398
14:23:58, 15675412, 71, 2405
14:24:58, 15682432, 72, 2405
14:25:59, 15673896, 69, 2392
14:26:59, 15665780, 68, 2398
14:27:59, 15676448, 72, 2405
14:28:59, 15676632, 70, 2398
14:29:59, 15676928, 70, 2398
14:30:59, 15675868, 70, 2398
14:31:59, 15672708, 70, 2398
14:32:59, 14526580, 71, 2392
14:33:59, 14507120, 69, 2398
14:34:59, 14500632, 70, 2385
14:35:59, 14480120, 73, 2405
14:36:59, 14461560, 70, 2398
14:37:59, 14451944, 70, 2398
14:39:00, 14440708, 70, 2392
14:40:00, 14443228, 74, 2405
14:41:00, 14383532, 74, 2405
14:42:00, 14434288, 70, 2398
14:43:00, 14443908, 70, 2398
14:44:00, 14435640, 70, 2398
14:45:00, 14443572, 70, 2398
14:46:00, 14429996, 69, 2398
14:47:00, 14418492, 70, 2392
14:48:00, 14416140, 70, 2398
14:49:00, 14417060, 69, 2398
14:50:00, 14414288, 69, 2398
14:51:00, 14407568, 69, 2398
14:52:01, 14417300, 70, 2385
14:53:01, 14420324, 69, 2398
14:54:01, 14418816, 71, 2405
14:55:01, 14416648, 68, 2392
14:56:01, 14327480, 71, 2398
14:57:01, 14400652, 68, 2398
14:58:01, 14408272, 68, 2398
14:59:01, 14405996, 68, 2398
15:00:01, 14404800, 68, 2398
15:01:01, 14430292, 68, 2398
15:02:01, 14434168, 68, 2398
15:03:01, 14429016, 68, 2398
15:04:01, 14419660, 68, 2398
15:05:02, 14416548, 68, 2398
15:06:02, 14419440, 68, 2398
15:07:02, 14420368, 70, 2398
15:08:02, 14410212, 68, 2392
15:09:02, 14422820, 68, 2398
15:10:02, 14427404, 73, 2405
15:11:02, 14414464, 69, 2398
15:12:02, 14416904, 69, 2398
15:13:02, 14407832, 70, 2392
15:14:02, 14415600, 69, 2398
15:15:02, 14419852, 69, 2398
15:16:02, 14426344, 70, 2398
15:17:02, 14430332, 69, 2398
15:18:02, 14433152, 69, 2398
15:19:03, 14435720, 69, 2398
15:20:03, 14439776, 71, 2398
15:21:03, 14436620, 69, 2398
15:22:03, 14432268, 69, 2398
15:23:03, 14424052, 72, 2398
15:24:03, 14429968, 69, 2392
15:25:03, 14436328, 71, 2398
15:26:03, 14431384, 69, 2398
15:27:03, 14429168, 68, 2398
15:28:03, 14432872, 68, 2398
15:29:03, 14423396, 72, 2398
15:30:03, 14434108, 68, 2398
15:31:03, 14438008, 70, 2398
15:32:04, 14439904, 70, 2398
15:33:04, 14432980, 68, 2398
15:34:04, 14422768, 70, 2405
15:35:04, 14422052, 69, 2398
15:36:04, 14416784, 69, 2398
15:37:04, 14411796, 68, 2398
15:38:04, 14400128, 68, 2398
15:39:04, 14406448, 68, 2398
15:40:04, 14406676, 70, 2398
15:41:04, 14402488, 68, 2398
15:42:04, 14405148, 69, 2392
15:43:04, 14400476, 74, 2398
15:44:04, 14410924, 68, 2398
15:45:04, 14421256, 70, 2398
15:46:05, 14416752, 69, 2398
15:47:05, 14413344, 68, 2398
15:48:05, 14414284, 69, 2398
15:49:05, 14427396, 69, 2398
15:50:05, 14421944, 68, 2398
15:51:05, 14416272, 69, 2398
15:52:05, 14413392, 69, 2392
15:53:05, 14406176, 69, 2398
15:54:05, 14401180, 69, 2398
15:55:05, 14405948, 69, 2398
15:56:05, 14776328, 69, 2398
15:57:05, 14821048, 68, 2398
15:58:05, 14821936, 69, 2398
15:59:06, 14833252, 68, 2398
16:00:06, 14828984, 68, 2398
16:01:06, 14839888, 68, 2398
16:02:06, 14842988, 71, 2398
16:03:06, 14844752, 68, 2398
16:04:06, 14844684, 70, 2398
16:05:06, 14842352, 68, 2398
16:06:06, 14856384, 71, 2398
16:07:06, 14851708, 68, 2392
16:08:06, 14853028, 68, 2398
16:09:06, 14851756, 68, 2392
16:10:06, 14851424, 69, 2398
16:11:06, 14854664, 53, 2405
