0	9908424efe7c646e	control	enP7s7	-	25849594727	989929103
0	9908424efe7c646e	fabric-client	enp1s0f0np0	rocep1s0f0	103202952712	82322460404
1	33164e12001f503d	control	enP7s7	-	6588497045	125688852
1	33164e12001f503d	fabric-owner	enp1s0f0np0	rocep1s0f0	82376533704	280486152712
